iter	Passed	Remaining
0	221	663171
1	303	454888
2	388	388537
3	470	352516
4	556	333386
5	634	316479
6	720	307864
7	1019	381398
8	1169	388778
9	1395	417141
10	1518	412657
11	1671	416088
12	1787	410657
13	1886	402304
14	1977	393468
15	2050	382452
16	2134	374456
17	2218	367553
18	2331	365800
19	2521	375689
20	2652	376303
21	2760	373642
22	2905	376049
23	3011	373394
24	3119	371170
25	3193	365232
26	3259	358859
27	3327	353173
28	3427	351174
29	3494	345971
30	3569	341888
31	3635	337172
32	3710	333564
33	3775	329399
34	3842	325492
35	3907	321690
36	3979	318659
37	4054	316041
38	4166	316356
39	4246	314258
40	4325	312198
41	4411	310713
42	4503	309710
43	4584	308008
44	4668	306555
45	4759	305634
46	4848	304643
47	4934	303455
48	5008	301660
49	5091	300423
50	5193	300315
51	5284	299611
52	5390	299715
53	5476	298798
54	5579	298757
55	5665	297839
56	5741	296467
57	5819	295178
58	5892	293736
59	5988	293434
60	6088	293354
61	6175	292659
62	6256	291684
63	6357	291630
64	6452	291350
65	6544	290913
66	6621	289869
67	6700	288931
68	6786	288290
69	6867	287472
70	6957	287018
71	7043	286430
72	7138	286223
73	7232	285959
74	7312	285183
75	7412	285193
76	7515	285283
77	7618	285415
78	7696	284590
79	7777	283888
80	7859	283250
81	7948	282848
82	8036	282440
83	8116	281743
84	8204	281376
85	8286	280787
86	8365	280093
87	8455	279801
88	8533	279112
89	8609	278387
90	8729	279040
91	8805	278325
92	8881	277604
93	8974	277458
94	9083	277774
95	9176	277589
96	9263	277223
97	9333	276397
98	9444	276760
99	9526	276270
100	9598	275514
101	9680	275029
102	9753	274335
103	9827	273644
104	9896	272854
105	9967	272134
106	10039	271454
107	10110	270741
108	10189	270267
109	10266	269728
110	10344	269235
111	10419	268675
112	10498	268216
113	10570	267607
114	10640	266941
115	10713	266369
116	10782	265685
117	10851	265040
118	10927	264562
119	10993	263850
120	11058	263116
121	11127	262507
122	11190	261742
123	11259	261141
124	11332	260657
125	11401	260058
126	11469	259460
127	11537	258878
128	11613	258470
129	11680	257876
130	11747	257279
131	11817	256768
132	11904	256619
133	11996	256589
134	12075	256259
135	12151	255886
136	12227	255517
137	12303	255170
138	12373	254687
139	12442	254175
140	12520	253881
141	12607	253743
142	12687	253492
143	12785	253578
144	12871	253430
145	12959	253338
146	13088	254025
147	13179	253981
148	13274	254005
149	13375	254140
150	13454	253856
151	13533	253568
152	13618	253415
